subject,task,session,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",0.9463767940484741
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",0.3911900035306695
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",0.38753127367691753
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",0.22390438145966152
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",0.34279316103201074
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",1.1857967083679573
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",0.8593150070232074
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-3.7444562619855835
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-3.7788861551543205
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-4.762884589342231
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-3.725279499915834
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.3910357726447784
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-3.7476118020689833
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-5.220167528241381
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-3.651714269293697
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-3.7655025715431196
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-4.1932316153242235
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.95435416261595
