subject,task,session,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-4.407698139895405
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.8384770537663355
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-4.455845338056694
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.7700544171508668
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-4.481439935693781
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-4.481649837951747
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-4.394947847127071
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-3.961382603540035
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-4.50177704205944
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.905139760502003
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-4.153538552664515
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.6513445915660916
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-4.239028584412223
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-6.443091449861111
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-3.816607251070614
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.7735140405490105
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.8794730428630515
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.4282313613834719
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-1.0788658249228755
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.4067546986574986
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-1.0902607449098618
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.5642502253146374
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-1.0370844516372584
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.6675679214841452
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.6243193746455606
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.750431110615208
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.5570940011107441
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.6950626379982131
