subject,task,session,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-7.1290346269718485
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-6.586233120998307
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-8.198583633144603
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-6.571277239470663
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-4.395742722308144
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-6.7716860519411
sub19,task2,1,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-5.776524568002311
sub19,task2,1,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-6.22477542547221
sub19,task2,1,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-5.396549826404387
sub19,task2,1,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-6.108354087000452
sub19,task2,1,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-5.388698761824512
sub19,task2,1,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-6.088799892457164
sub19,task2,1,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-5.8833158303566675
sub19,task2,1,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-6.258921384983764
sub19,task2,2,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-7.314486935830121
sub19,task2,2,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-8.37919065437519
